filename,class
02c23426_Algometer Pain S056 07.jpg,none
02c42237_Neutral S013 18.jpg,none
02c52604_Colour-S010A 15.jpg,mild
02c588c9_Neutral S010  16.jpg,none
02c9cc5c_Laser Pain S036 15.jpg,mild
02cffbcb_Algometer Pain S056 11.jpg,none
02d1bc5c_Laser Pain S036 21.jpg,mild
02d53773_S036N 11.jpg,none
02da4fad_S033L 16.jpg,none
02dc1e4b_Laser Pain S014 08.jpg,none
02e3cb41_S043A 21.jpg,mild
02e5dd60_S057A 03.jpg,none
02e65675_Posed Pain S013 16.jpg,mild
02ea3b87_Posed Pain S036 20.jpg,none
02ecf994_Neutral S015 20.jpg,mild
02ef0567_Laser Pain S026 22.jpg,none
02f43cfd_S017A 18.jpg,mild
02f5a01d_Algometer Pain S042 22.jpg,none
02f7724e_S027L 19.jpg,none
02f7ba03_Posed Pain S060 08.jpg,none
02f983b2_S031L 19.jpg,none
02feac30_S042L 09.jpg,none
02feec81_Posed Pain S035 12.jpg,none
0301348f_Neutral S018 07.jpg,none
0301569e_Posed Pain S025 12.jpg,mild
03015a9a_S013A 13.jpg,none
03018b12_S043A 11.jpg,none
0303e017_Neutral S066 19.jpg,none
0303eaca_Neutral S022 13.jpg,none
0304f77e_S057L 19.jpg,none
03089e21_Posed Pain S047 10.jpg,none
030bc88b_S023N 11.jpg,none
03144490_Neutral S029 03.jpg,none
031d43c8_Posed Pain S013 22.jpg,none
03234707_S056L 08.jpg,none
0324c276_Neutral S039 10.jpg,none
0325aac2_Posed Pain S040 17.jpg,mild
0327e27a_Neutral S029 07.jpg,none
032ac276_Laser Pain-1 S029 16.jpg,none
0332e4a8_S046L 22.jpg,none
03384f5e_S016A 09.jpg,none
0343be83_Neutral S052 21.jpg,mild
03453adf_Posed Pain S038 18.jpg,none
034767df_Posed Pain S004 06.jpg,none
034be2e6_S013L 04.jpg,mild
034ecc9b_S060L 22.jpg,none
03500bc8_Neutral S057 10.jpg,none
03530d74_Laser Pain S006 17.jpg,none
035541d8_S048A 14.jpg,mild
03568793_Algometer Pain S068 11.jpg,none
035a5a5f_Neutral S044 03_1.jpg,none
035b62ec_Posed Pain S044 05.jpg,none
035ba375_Neutral S063 07.jpg,mild
035ccfc7_Algometer Pain-1 S019 09.jpg,moderate
035db78f_S020L 09.jpg,moderate
035e3d3c_S064A 16.jpg,none
0361cf81_Laser Pain S014 15.jpg,none
03638981_S015F 15.jpg,none
036733c3_S063L 17.jpg,none
036bc6ed_Neutral S002 18.jpg,none
0373589b_S068L 13.jpg,none
03766668_Algometer Pain-2 S052 16.jpg,moderate
037a5460_Posed Pain S053 11.jpg,none
037a959a_Algometer Pain S037 17.jpg,none
037aabc3_Neutral S011 20.jpg,none
037ae119_Posed Pain S031 08.jpg,none
037d977d_S045F 18.jpg,none
03817cc5_S012F 22.jpg,mild
03850c62_S051L 08.jpg,none
0387dbce_Posed Pain S061 22.jpg,none
038e1c3f_Neutral S047 20.jpg,none
038e5427_Posed Pain S056 06.jpg,severe
0390074f_Neutral S047 02.jpg,none
039211dc_Algometer Pain-2 S032 17.jpg,none
03937a72_Neutral S050 22.jpg,none
0394820c_Posed Pain S035 03.jpg,none
03952606_S037F 06.jpg,mild
039706f0_Colour-S010A 15.jpg,mild
039721f4_S027L 13.jpg,none
0398a46b_Neutral S064 03.jpg,none
039b8470_Algometer Pain-1 S052 21.jpg,moderate
03a8da8c_S002F 15.jpg,mild
03aa9e17_Neutral S022 12.jpg,none
03afcfab_S063A 21.jpg,none
03b954a6_Laser Pain S044 05.jpg,none
03bada59_Posed Pain S014 04.jpg,none
03bc14bd_S022A 16.jpg,none
03bc19ec_Posed Pain S033 03.jpg,none
03c44195_Neutral S030 21.jpg,mild
03c49650_Neutral S024 16.jpg,none
03c6407d_S013A 10.jpg,none
03c8f180_S009F 08.jpg,none
03caf9aa_S065L 07.jpg,none
03cd208e_Posed Pain S031 13.jpg,none
03cf9e19_S021A 06.jpg,mild
03cfcfcf_Algometer Pain S058 07.jpg,none
03cfee73_L�ser S022 09.jpg,none
03d10053_S020A 14.jpg,none
03d11eef_Algometer Pain S025 16.jpg,moderate
03d1761d_S034L 11.jpg,none
03d38aec_Algometer Pain-2 S019 06.jpg,none
03d6b05d_S026A 14.jpg,mild
03d7c402_Algometer Pain S029 17.jpg,none
03dd6c3f_Neutral S046 15.jpg,mild
03e45fdb_S038L 20.jpg,none
03e63667_Posed Pain S004 09.jpg,moderate
03e7cfd1_S019F 16.jpg,mild
03ecd215_Posed Pain S027 14.jpg,none
03f03128_Neutral S062 10.jpg,none
03f04402_Posed Pain S031 03.jpg,none
03f0b7bc_S015F 15.jpg,none
03f39909_Neutra S006 19.jpg,none
03f3a74c_S034L 09.jpg,none
03f3e0ed_S010L 03.jpg,none
03f513a5_S016L 14.jpg,none
03f58186_Neutral S054 15.jpg,none
03fc24c0_S039L 08.jpg,none
03fd8963_S038L 13.jpg,none
040531a9_S012F 17.jpg,mild
04059e31_Neutral S063 07.jpg,none
0407501c_S003F 07.jpg,mild
040a1091_S058L 07.jpg,none
040c6ebf_Posed Pain S059 18.jpg,mild
040e4ed3_Posed Pain S040 20.jpg,mild
040f316a_S026N 17.jpg,none
040f4c58_S048F 05.jpg,none
040f4efe_Laser Pain S023 13.jpg,moderate
041507df_Neutral S019 03.jpg,none
04166126_S022F 20.jpg,mild
0416ce8e_Neutral S029 04.jpg,none
041afea8_Neutral S029 10.jpg,mild
04207fe8_S068F 20.jpg,none
0422c2f1_S040L 16.jpg,none
0424846e_Algometer Pain S033 09.jpg,mild
0426b126_S002F 03.jpg,mild
04277d43_Neutral S048 09.jpg,none
042a4328_S010L 06.jpg,none
042ceb1f_Algometer Pain S045 20.jpg,moderate
042e5b0b_S048A 20.jpg,none
042f18af_L�ser S022 13.jpg,moderate
0432ec7b_Neutral S018 21.jpg,mild
043476bc_S049A 17.jpg,none
04362c65_Algometer Pain S044 07.jpg,none
0437b216_Algometer Pain S058 19.jpg,none
043d9d91_Algometer Pain-1 S052 20.jpg,none
0441d56b_Posed Pain S051 06.jpg,none
044517d2_Posed Pain S050 06.jpg,none
0459ae29_S029F 03.jpg,none
045a30e4_Neutral S053 05.jpg,mild
0464b2be_S012L 22.jpg,none
04682fb1_S060L 03.jpg,none
046acabe_S053A 03.jpg,none
046bdaae_Colour-S028L 21.jpg,none
046c76ba_S034N 11.jpg,mild
046e3099_S011F 20.jpg,severe pain
0471100a_S009F 12.jpg,mild
0474220b_S060A 17.jpg,none
047546d2_Neutral S035 17.jpg,mild
0477c5fd_Algometer Pain S002 13.jpg,moderate
047a64e2_Fingido S062 17.jpg,none
047b3f69_S057L 05.jpg,mild
047bc5b8_S008L 05.jpg,none
047fed97_Laser Pain-2 S029 10.jpg,none
047fede3_Neutral S064 06.jpg,none
04855571_Laser Pain S001 17.jpg,none
0485db95_S066A 19.jpg,none
049298a5_S022F 05.jpg,none
04962a4c_S063L 07.jpg,none
04993390_S030A 05.jpg,none
04997501_Algometer Pain S056 08.jpg,mild
049a52e1_Posed Pain-2 S052 07.jpg,none
049c1ce8_Colour-S011A 09.jpg,none
049c50a9_S061A 10.jpg,none
049d41e0_S007F 07.jpg,none
04a5d4be_Neutral S022 10.jpg,none
04a6b72d_Neutral S043 19.jpg,none
04ab6634_S004A 11.jpg,none
04b17dc3_Posed Pain S044 16.jpg,mild
04b1e721_S031L 14.jpg,none
04b28f77_Laser Pain S006 14.jpg,none
04b2f787_Algometer Pain S031 06.jpg,mild
04b3191c_S027L 04.jpg,none
04b4690f_Algometer Pain S055 12.jpg,moderate
04b71867_Neutral S061 14.jpg,none
04c1d9bf_S029F 12.jpg,none
04c536c2_Neutral S060 02.jpg,none
04ce269e_Posed Pain S017 12.jpg,mild
04ce9c81_S004L 06.jpg,none
04d1f96a_Posed Pain S033 12.jpg,mild
04d9fe86_S050L 09.jpg,none
04dd7bb9_Algometer Pain-2 S052 20.jpg,none
04dfb0fe_Neutral S019 14.jpg,none
04e28128_Posed Pain S044 18.jpg,mild
04e5e8ec_Laser Pain S015 17.jpg,mild
04e6f9f1_Neutral S017 18.jpg,none
04e81290_S003F 18.jpg,none
04ea91d0_S067L 18.jpg,mild
04eb98f7_Posed Pain S033 07.jpg,none
04edc2cb_Algometer Pain S040 14.jpg,mild
04f1d3a4_Laser Pain S044 14.jpg,none
04f9119f_Colour-S011A 03.jpg,none
04fd9389_Algometer Pain S009 20.jpg,mild
04fdaa42_S013L 10.jpg,none
0504e21c_Algometer Pain S028 07.jpg,none
05079e30_Algometer Pain S051 03.jpg,none
0509271d_Neutral S010  07.jpg,none
0509d2e5_S027L 09.jpg,none
050bf332_S053L 14.jpg,none
050ff4a9_S003L 07.jpg,none
051045bf_Laser Pain-1 S029 14.jpg,moderate
05108560_Neutral S062 14.jpg,none
0510a7c3_S001F 14.jpg,moderate
0512aae4_S033L 06.jpg,none
05136ac0_Posed Pain S065 15.jpg,none
051925a3_Neutral S040 17.jpg,none
051a0cc3_Posed Pain-2 S052 21 (2).jpg,none
05210a8c_S052L 12.jpg,none
0524b5e8_Posed Pain S016 10.jpg,none
05264cc5_Neutral S062 19.jpg,none
052673c5_Neutral S054 19.jpg,mild
05282355_S064A 13.jpg,mild
0528a4cb_Posed Pain-1 S052 14.jpg,none
0529a494_S051L 07.jpg,none
052f48d4_Neutral S050 07.jpg,none
0530bc6d_Posed Pain1 14.jpg,none
0531fade_Colour-S028L 20.jpg,none
05325ead_Laser Pain-1 S029 03.jpg,moderate
05348e8b_Posed Pain S010 09.jpg,none
05386c7a_S052L 03.jpg,none
0539e270_Posed Pain S053 06.jpg,none
053ccccb_S054L 14.jpg,none
05445d9b_S039L 17.jpg,none
0544a0cd_Neutral S046 09.jpg,mild
054a9962_S065A 07.jpg,none
054e3d6c_Neutral S021 05.jpg,mild
054e49f4_S042F 05.jpg,none
0552df63_S009F 04.jpg,none
05543a16_Posed Pain S044 19.jpg,none
0555091c_S035L 17.jpg,none
055ab8d7_S054A 14.jpg,none
055bb0d2_S019F 11.jpg,mild
0560be91_S049F 22.jpg,mild
05668b02_Neutral S050 11.jpg,none
05690dfe_Colour-S010A 04.jpg,none
056d4786_L�ser S022 09.jpg,none
05707689_S008L 17.jpg,none
057811fc_S059L 04.jpg,none
057b717b_S003F 06.jpg,mild
0586701f_S042L 19.jpg,none
0592b769_Algometer Pain S059 19.jpg,none
0593b64f_Neutral S013 12.jpg,mild
05948abf_Posed Pain S033 04.jpg,moderate
059556ad_Neutral S056 12.jpg,none
0595d3ee_Neutral S067 11.jpg,none
059b20ab_Posed Pain S010 11.jpg,none
059cfa77_S060A 04.jpg,none
059fd65b_S049F 13.jpg,mild
059fe25e_Posed Pain S004 07.jpg,moderate
05a22651_S063A 17.jpg,none
05a36daa_S036A 20.jpg,none
05aea25f_Neutral S014 03.jpg,none
05afb461_S059L 22.jpg,none
05b05af0_Algometer Pain S051 07.jpg,none
05bc3544_Posed Pain S020 08.jpg,none
05bea0a7_S057L 11.jpg,none
05bf1903_Posed Pain S044 04.jpg,moderate
05c60a7f_Algometer Pain S006 17.jpg,none
05ca95b1_Algometer Pain S037 11.jpg,none
05d2a21d_Neutral S035 03.jpg,none
05dbdb57_S046L 05.jpg,none
05e02cc6_Posed Pain S025 22.jpg,mild
05e085db_Posed Pain S010 18.jpg,moderate
05e18298_Posed Pain S063 04.jpg,none
05e74e1c_Neutral S010  05.jpg,mild
05ea176d_Neutra S006 06.jpg,none
05eca91d_Neutral S007 10.jpg,none
05ed7a18_S006F 18.jpg,none
05f19063_S039L 20.jpg,none
05f28f6d_S012F 08.jpg,none
05f2c84b_L�ser S019 13.jpg,mild
05fabcd9_Neutral S058 09.jpg,none
05fad3be_S065A 08.jpg,none
05fd8162_Algometer Pain S027 12.jpg,none
0600ad80_S042F 05.jpg,severe
0603ebab_Posed Pain S014 10.jpg,none
0605a49f_S050L 12.jpg,none
060b9d8b_Posed Pain S010 14.jpg,none
060d1fb7_Neutral S014 18.jpg,none
060ff64a_S005L 22.jpg,none
06104c18_Algometer Pain S055 05.jpg,moderate
061598d2_Posed Pain S064 22.jpg,moderate
0619374d_Algometer Pain S068 17.jpg,none
061a0ae0_Posed Pain S040 05.jpg,none
061bef8e_Posed Pain1 29.jpg,none
061fa1f8_Posed Pain1 13.jpg,none
062067de_Neutral S040 10.jpg,none
0620a6f1_Colour-S011A 08.jpg,moderate
0621789a_S053A 07.jpg,none
0621e2a7_S034N 16.jpg,mild
06244d84_Posed Pain S065 11.jpg,none
06262969_Neutral S013 19.jpg,none
06262b8d_S009F 08.jpg,none
0626635a_S030F 19.jpg,none
06283fd7_Neutral S047 15.jpg,none
06294310_S043A 06.jpg,none
062972c7_Algometer Pain S023 08.jpg,mild
062ef6a5_Laser Pain S026 19.jpg,none
0633b789_Posed Pain1 17.jpg,none
0635852a_S061L 16.jpg,none
063b664b_Algometer Pain S027 07.jpg,none
0643c495_Neutral S038 13.jpg,none
064af813_Neutral S030 14.jpg,none
064fe52b_S009F 09.jpg,none
0656a7b2_S053A 11.jpg,none
06573898_S019F 07.jpg,moderate
0659b452_Posed Pain S058 13.jpg,moderate
065fe5d9_S049A 20.jpg,none
0660025d_Colour-S011A 08.jpg,moderate
066180b6_Neutral S043 06.jpg,none
0661cb87_Neutral S038 05.jpg,none
0669adb0_S009F 07.jpg,mild
066c97cf_S062L 07.jpg,none
066da7d9_Neutral S024 19.jpg,none
066ddac5_S009F 13.jpg,mild
066f30da_Posed Pain S046 09.jpg,moderate
067ccd2e_S005F 16.jpg,moderate
067e587e_Neutral S047 14.jpg,none
068bc294_S052L 08.jpg,none
06901c55_Posed Pain S044 06.jpg,none
069bd7b6_S040L 19.jpg,none
06a38096_Neutral S060 18.jpg,none
06a734e0_Posed Pain S032 10.jpg,none
06ae127e_S067L 17.jpg,moderate
06b84e55_S047A 21.jpg,none
06b8a39b_Neutral S018 17.jpg,none
06b92ead_S057L 14.jpg,none
06bba8a7_Neutral S013 05.jpg,none
06c0c051_S050L 22.jpg,none
06c65bd5_Neutral S055 03.jpg,none
06c9e16f_Algometer Pain S028 18.jpg,moderate
06cd30cd_S002L 05.jpg,none
06ce3344_Posed Pain S053 03.jpg,mild
06d41e5f_Neutral S035 05.jpg,moderate
06d6b701_Algometer Pain S031 22.jpg,none
06d787a2_S016L 04.jpg,none
06d9982c_S061A 11.jpg,none
06da950a_Algometer Pain S046 05.jpg,mild
06debc4d_Posed Pain S034 22.jpg,none
06dfd443_Algometer Pain S029 22.jpg,none
06ec2697_Posed Pain-1 S052 08.jpg,none
06eed11c_Neutral S048 15.jpg,none
06f62928_S026N 03.jpg,mild
06f95bf1_Posed Pain S061 15.jpg,none
06f997ee_Algometer Pain S031 15.jpg,moderate
06fa66ad_Algometer Pain S018 13.jpg,none
06fca7cb_S048F 17.jpg,none
06fd7cb6_Laser Pain S018 11.jpg,none
07008d1f_Posed Pain S016 14.jpg,none
070857d6_Posed Pain S047 13.jpg,none
07085809_Neutral S058 11.jpg,none
070b838c_Neutral S061 21.jpg,mild
070ca9a2_S057A 17.jpg,none
07103a1e_Posed Pain S058 09.jpg,none
0710460b_Posed Pain S060 19.jpg,mild
071153ea_Algometer Pain S006 15.jpg,none
0712fd72_Posed Pain S038 07.jpg,none
07153115_S022F 05.jpg,none
07174861_Posed Pain S028 08.jpg,none
071ac854_Laser Pain S030 17.jpg,none
071f45b7_Algometer Pain-2 S019 18.jpg,mild
07228443_Neutral S012 04.jpg,none
0729327b_Laser Pain S026 06.jpg,none
072d4cf8_S027L 20.jpg,none
0731064a_S048A 15.jpg,mild
073208a0_Neutral S046 20.jpg,none
073523de_Posed Pain S054 09.jpg,none
07369069_S014A 03.jpg,none
073ee5a1_Neutral S007 02.jpg,none
0742167a_Laser Pain S026 20.jpg,none
0743af1a_S013L 14.jpg,none
074703b5_Algometer Pain S062 22.jpg,none
074967f5_Algometer Pain-2 S032 04.jpg,none
0750dbf9_Neutral S046 02.jpg,none
0754c3a5_Neutral S011 18.jpg,none
07585f66_Algometer Pain-2 S019 03.jpg,none
075bd24e_S064A 22.jpg,none
075e2cdd_S039L 21.jpg,none
0760ba24_S045L 06.jpg,none
0761f0bf_Algometer Pain S055 13.jpg,moderate
07645e04_S013L 20.jpg,none
07698ad2_Posed Pain S021 15.jpg,moderate
0770fe62_Neutral S043 09.jpg,none
0771bdde_S020L 05.jpg,none
0772ab6f_S038A 13.jpg,none
07770ea7_S051N 06.jpg,none
077871d9_Neutral S063 16.jpg,mild
07787e93_Posed Pain S067 15.jpg,none
0778e21a_Posed Pain S047 06.jpg,mild
077b3419_S011F 05.jpg,none
077d8b2e_Neutral S042 05.jpg,mild
0785a482_S060A 05.jpg,none
07865310_Neutral S052 19.jpg,none
0788b3d2_Algometer Pain S033 08.jpg,none
078a3617_S048A 13.jpg,none
078ca412_L�ser S011 15.jpg,moderate
078e27a8_S014A 05.jpg,mild
078ec58e_Fingido S062 13.jpg,moderate
079464da_Neutral S013 09.jpg,none
0795e76d_S030A 22.jpg,none
07968012_S024L 06.jpg,none
0797d175_Neutral S058 05.jpg,none
07a2aa98_S012F 15.jpg,none
07a4967e_Neutral S013 14.jpg,none
07ac12e1_S024L 08.jpg,none
07b14dbf_Neutral S060 18.jpg,none
07b27745_S028N 19.jpg,none
07b79549_S025N 10.jpg,moderate
07b7be8f_Algometer Pain S059 15.jpg,none
07bdbc7e_S030A 12.jpg,none
07bf29be_Laser Pain S014 21.jpg,none
07c39412_S065L 11.jpg,none
07c9bc21_S051L 07.jpg,none
07cb12e6_Posed Pain S064 16.jpg,none
07cb4568_Laser Pain S006 11.jpg,none
07d3e3c0_Algometer Pain S056 06.jpg,none
07d8add2_S059L 03.jpg,none
07d8c155_Laser Pain-1 S029 19.jpg,none
07df393e_Neutra S006 13.jpg,mild
07e1cdf9_S030F 16.jpg,none
07e7d6f2_S067L 09.jpg,none
07ea78ed_Algometer Pain S037 14.jpg,mild
07ef84e1_S002L 03.jpg,none
07f06368_S057A 06.jpg,none
07f07a96_Neutral S004 18.jpg,none
08057d5e_Algometer Pain S027 04.jpg,none
08095baa_S067L 11.jpg,mild
080a3c69_Laser Pain S049 13.jpg,none
080f14f7_S052L 14.jpg,none
080f2c93_Posed Pain-1 S052 15.jpg,none
080f38e4_Algometer Pain S041 17.jpg,moderate
08106765_Posed Pain S028 19.jpg,mild
0810cb0a_Posed Pain S032 11.jpg,moderate
08125350_S015A 08.jpg,mild
0818005f_S002F 18.jpg,none
